time,Speaker,text
00:03.5 - 00:04.5,robot,Hello my friend.
00:06.5 - 00:08.1,participant,Um so how are you today?
00:12.3 - 00:13.4,participant,How are you Peppa
00:14.8 - 00:16.2,robot,I am great. Thank you.
00:17.8 - 00:21.9,robot,Now I would like to ask you a couple of logical problems.
,participant,Ok.
00:24.0 - 00:33.5,robot,So as everyone is familiar when they are over 30 then Jessica is a liar so the question is is Jessica over 30?
00:36.2 - 00:37.2,participant,to tell for sure
00:41.4 - 00:44.2,robot,you know you are so smart. Thank you.
00:49.2 - 00:53.0,robot,Do you agree that not everyone under service is not a liar?
00:56.2 - 00:58.0,participant,"Yes, yes, I agree."
01:00.7 - 01:02.6,robot,"Great, thank you for your answer."
01:05.0 - 01:07.4,robot,Now I would like to ask you a word problems.
01:11.3 - 01:20.7,robot,There are 66 people in the playground including 28 girls boys and teachers. How many teachers were there in total?
01:22.3 - 01:23.4,participant,Can you repeat the question?
01:25.0 - 01:27.9,participant,Paper can you repeat the question?
01:30.9 - 01:42.2,robot,No problem. There are 66 people in the playground including 28 girls boys and teachers. How many teachers were there in total?
01:50.3 - 01:50.6,participant,10
01:54.7 - 01:56.4,robot,"Really, please try again."
01:58.1 - 02:13.3,participant,Okay uh repeat the question again. I think I lost you
,robot, no problem. There are 66 people in the playground including 28 girls boys and teachers. How many teachers were there in total?
02:16.5 - 02:17.1,participant,38
02:20.3 - 02:22.5,robot,let's change another question. 
,participant,Thank you.
02:25.4 - 02:28.6,robot,"Game sorry, maybe this question is two doesn't want."
02:31.7 - 02:35.6,robot,Now I would like to ask you a couple to ask you a couple of minutes question.
02:36.7 - 02:46.2,participant,okay
,robot, is x equals four in the next must be in equals 10 the question is is ba- 12 
,participant,no
02:51.7 - 02:53.4,robot,"Good job, you are correct."
